,brand,segment,month_end,AUC
365,HBC,2x. subprime,2024-01-31,0.0035714285714285587
366,HBC,2x. subprime,2024-06-30,0.0
367,HBC,2x. subprime,2024-02-29,-0.07000000000000006
368,HBC,2x. subprime,2024-04-30,0.0
369,HBC,2x. subprime,2024-07-31,0.0
370,HBC,2x. subprime,2020-04-30,0.0
371,HBC,5. undecided,2020-02-29,0.0
372,HBC,5. undecided,2020-03-31,0.0
373,HBC,5. undecided,2020-06-30,0.0
374,HBC,5. undecided,2020-07-31,0.0
375,HBC,5. undecided,2020-08-31,0.0
376,HBC,5. undecided,2020-09-30,0.0
377,HBC,5. undecided,2020-10-31,0.0
378,HBC,5. undecided,2020-11-30,0.0
379,HBC,5. undecided,2020-12-31,0.0
380,HBC,5. undecided,2021-01-31,0.0
381,HBC,5. undecided,2021-02-28,0.0
382,HBC,5. undecided,2021-03-31,0.0
383,HBC,5. undecided,2021-04-30,0.0
384,HBC,5. undecided,2021-05-31,0.0
385,HBC,5. undecided,2021-09-30,0.0
386,HBC,5. undecided,2021-07-31,0.0
387,HBC,5. undecided,2021-06-30,0.0
388,HBC,5. undecided,2021-10-31,0.0
389,HBC,5. undecided,2021-11-30,0.0
390,HBC,5. undecided,2021-08-31,0.0
391,HBC,5. undecided,2021-12-31,0.0
392,HBC,5. undecided,2022-01-31,0.0
393,HBC,5. undecided,2022-02-28,0.0
394,HBC,5. undecided,2022-03-31,0.0
395,HBC,5. undecided,2022-05-31,0.0
396,HBC,5. undecided,2022-04-30,0.0
397,HBC,5. undecided,2022-06-30,0.0
398,HBC,5. undecided,2022-07-31,0.0
399,HBC,5. undecided,2022-08-31,0.0
400,HBC,5. undecided,2022-09-30,0.0
401,HBC,5. undecided,2022-10-31,0.0
402,HBC,5. undecided,2022-11-30,0.0
403,HBC,5. undecided,2022-12-31,0.0
404,HBC,5. undecided,2023-01-31,0.0
405,HBC,5. undecided,2023-02-28,0.0
406,HBC,5. undecided,2023-03-31,0.0
407,HBC,5. undecided,2023-05-31,0.0
408,HBC,5. undecided,2023-06-30,0.0
409,HBC,5. undecided,2023-04-30,0.0
410,HBC,5. undecided,2023-08-31,0.0
411,HBC,5. undecided,2023-07-31,0.0
412,HBC,5. undecided,2023-09-30,0.0
413,HBC,5. undecided,2024-05-31,0.0
414,HBC,5. undecided,2023-12-31,0.0
415,HBC,5. undecided,2023-11-30,0.0
416,HBC,5. undecided,2023-10-31,0.0
417,HBC,5. undecided,2024-03-31,0.0
418,HBC,5. undecided,2024-01-31,0.0
419,HBC,5. undecided,2024-06-30,0.0
420,HBC,5. undecided,2024-02-29,0.0
421,HBC,5. undecided,2024-04-30,0.0
422,HBC,5. undecided,2024-07-31,0.0
423,HBC,5. undecided,2020-04-30,0.0
424,SIENNA,1. thick_prime,2020-02-29,0.0
425,SIENNA,1. thick_prime,2020-03-31,0.0
426,SIENNA,1. thick_prime,2020-06-30,0.0
427,SIENNA,1. thick_prime,2020-07-31,0.0
428,SIENNA,1. thick_prime,2020-08-31,0.0
429,SIENNA,1. thick_prime,2020-09-30,0.0
430,SIENNA,1. thick_prime,2020-10-31,0.0
431,SIENNA,1. thick_prime,2020-11-30,0.0
432,SIENNA,1. thick_prime,2020-12-31,0.0
433,SIENNA,1. thick_prime,2021-01-31,0.0
434,SIENNA,1. thick_prime,2021-02-28,0.0
435,SIENNA,1. thick_prime,2021-03-31,0.0
436,SIENNA,1. thick_prime,2021-04-30,0.0
437,SIENNA,1. thick_prime,2021-05-31,0.0
438,SIENNA,1. thick_prime,2021-09-30,0.0
439,SIENNA,1. thick_prime,2021-07-31,0.0
440,SIENNA,1. thick_prime,2021-06-30,0.0
441,SIENNA,1. thick_prime,2021-10-31,0.0
442,SIENNA,1. thick_prime,2021-11-30,0.0
443,SIENNA,1. thick_prime,2021-08-31,0.0
444,SIENNA,1. thick_prime,2021-12-31,0.0
445,SIENNA,1. thick_prime,2022-01-31,0.0
446,SIENNA,1. thick_prime,2022-02-28,0.0
447,SIENNA,1. thick_prime,2022-03-31,0.0
448,SIENNA,1. thick_prime,2022-05-31,0.0
449,SIENNA,1. thick_prime,2022-04-30,0.0
450,SIENNA,1. thick_prime,2022-06-30,0.0
451,SIENNA,1. thick_prime,2022-07-31,0.0
452,SIENNA,1. thick_prime,2022-08-31,0.0
453,SIENNA,1. thick_prime,2022-09-30,0.0
454,SIENNA,1. thick_prime,2022-10-31,0.0
455,SIENNA,1. thick_prime,2022-11-30,0.0
456,SIENNA,1. thick_prime,2022-12-31,0.0
457,SIENNA,1. thick_prime,2023-01-31,0.0
458,SIENNA,1. thick_prime,2023-02-28,0.0
459,SIENNA,1. thick_prime,2023-03-31,0.0
460,SIENNA,1. thick_prime,2023-05-31,0.5588235294117647
461,SIENNA,1. thick_prime,2023-06-30,0.5190476190476192
462,SIENNA,1. thick_prime,2023-04-30,0.5714285714285714
463,SIENNA,1. thick_prime,2023-08-31,0.3549648704783164
464,SIENNA,1. thick_prime,2023-07-31,0.2977566619995673
465,SIENNA,1. thick_prime,2023-09-30,0.39418925831202056
466,SIENNA,1. thick_prime,2024-05-31,0.0
467,SIENNA,1. thick_prime,2023-12-31,0.4401890820586589
468,SIENNA,1. thick_prime,2023-11-30,0.3530896879672525
469,SIENNA,1. thick_prime,2023-10-31,0.42701010101010106
470,SIENNA,1. thick_prime,2024-03-31,0.0
471,SIENNA,1. thick_prime,2024-01-31,0.5567483064095884
472,SIENNA,1. thick_prime,2024-06-30,0.0
473,SIENNA,1. thick_prime,2024-02-29,0.48105841526894166
474,SIENNA,1. thick_prime,2024-04-30,0.0
475,SIENNA,1. thick_prime,2024-07-31,0.0
476,SIENNA,1. thick_prime,2020-04-30,0.0
477,SIENNA,3. thin_prime,2020-02-29,0.0
478,SIENNA,3. thin_prime,2020-03-31,0.0
479,SIENNA,3. thin_prime,2020-06-30,0.0
