,Tree,Node,ID,Feature,Split,Yes,No,Missing,Gain,Cover,Category
1872,8,48,8-48,last3MonthUtilization,-0.323828995,8-97,8-98,8-98,0.572387695,1133.59497,
1873,8,49,8-49,avg_dpd_last3Mo,19.5,8-99,8-100,8-100,8.0579834,649.250061,
1874,8,50,8-50,last_nonNull_CVSC100,684.5,8-101,8-102,8-102,6.87451172,4480.99072,
1875,8,51,8-51,3MoInterestAvg,0.108333334,8-103,8-104,8-103,2.9296875,53452.8789,
1876,8,52,8-52,Leaf,,,,,-0.127719104,129357.648,
1877,8,53,8-53,utilization,0.00124999997,8-107,8-108,8-108,6.17871094,984.695557,
1878,8,54,8-54,last3MonthUtilization,0.654365778,8-109,8-110,8-110,3.98925781,4225.33105,
1879,8,55,8-55,utilization,0.965350032,8-111,8-112,8-112,6.50415039,3068.76074,
1880,8,56,8-56,amountOverLimit,47.25,8-113,8-114,8-114,11.9129639,1633.19531,
1881,8,57,8-57,amountOverLimit,288.464996,8-115,8-116,8-116,3.07470703,2827.12988,
1882,8,58,8-58,3MoInterestAvg,17.6983337,8-117,8-118,8-118,3.90358543,8.00921631,
1883,8,59,8-59,avg_dpd_last9Mo,40.5,8-119,8-120,8-120,23.4050121,215.595581,
1884,8,60,8-60,max_dpd_last6Mo,32.5,8-121,8-122,8-122,17.4848938,781.970215,
1885,8,61,8-61,GO152_backfill,3.5,8-123,8-124,8-124,7.40869141,573.955688,
1886,8,62,8-62,avg_dpd_last9Mo,59.5,8-125,8-126,8-126,5.92604542,25.2754574,
1887,8,63,8-63,deposits_amount,22.0849991,8-127,8-128,8-128,1.44322205,174.989731,
1888,8,64,8-64,last_nonNull_CVSC100,627.5,8-129,8-130,8-130,5.50264835,13.8787308,
1889,8,65,8-65,GO21_backfill,1.5,8-131,8-132,8-132,1.77246094,2927.71948,
1890,8,66,8-66,Leaf,,,,,-0.0105310222,3.12082624,
1891,8,67,8-67,RE28_backfill,26900.0,8-133,8-134,8-134,6.85282421,30.4051208,
1892,8,68,8-68,Leaf,,,,,-0.120678239,9.5299654,
1893,8,69,8-69,utilization,0.590149999,8-135,8-136,8-136,1.71884155,330.92395,
